seed,online_epoch,online_full_cer,finetune_epoch,finetune_cer
42,28,3.671608311634195,12,4.199015815760393
123,14,3.701714149982342,9,4.1670349966682405
456,17,3.667006507522668,11,4.361464327756593
789,36,3.6027913993608385,11,4.161931103033538
2024,18,3.633380711074399,9,4.155050037350068
mean,,3.655300215914888,,4.208899256113766
